,OCC_CODE,O_GROUP,OCC_TITLE,TOT_EMP,Mean Annual Salary,Median Annual Salary,Entry level education,Work Experience,Training on Job,16 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 years and over,Median age,Women,White,Black or African American,Asian,Hispanic or Latino,Employement change in 10 years,Education weight,Experience weight,Training weight,Prestige,popularity
10,11-2030,broad,public relations and fundraising managers,81110,135580,118430,Bachelor's degree,5 years or more,None,0.0,4.2105263157894735,22.105263157894736,30.526315789473685,21.05263157894737,17.894736842105264,4.2105263157894735,43.0,66.4,91.0,4.3,2.3,7.6,12.6,3.0,3.0,1.0,1220220.0,3646338470526.3154
11,11-3000,minor,operations specialties managers,2012370,138590,125040,No formal educational credential,None,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544917,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304349,11.6,1.0,1.0,1.0,138590.0,113034080407351.14
12,11-3010,detailed,administrative services and facilities managers,307620,108120,98890,Bachelor's degree,Less than 5 years,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544917,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304349,8.9,3.0,2.0,1.0,648720.0,10342423056813.049
13,11-3010,broad,administrative services and facilities managers,307620,108120,98890,Bachelor's degree,Less than 5 years,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544917,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304349,8.9,3.0,2.0,1.0,648720.0,10342423056813.049
14,11-3021,detailed,computer and information systems managers,457290,161730,151150,Bachelor's degree,5 years or more,None,0.0,0.9408602150537636,17.204301075268816,29.83870967741936,30.376344086021504,18.548387096774192,3.091397849462365,45.4,26.6,75.5,7.0,15.5,5.2,10.9,3.0,3.0,1.0,1455570.0,14627483664858.87
15,11-3031,detailed,financial managers,653080,151510,134180,Bachelor's degree,5 years or more,None,0.0,2.979373567608861,20.77922077922078,25.286478227654698,26.81436210847976,19.09854851031321,5.042016806722689,45.4,52.6,79.4,9.7,8.2,9.9,17.3,3.0,3.0,1.0,1363590.0,40670033288711.99
16,11-3051,detailed,industrial production managers,179570,118190,108790,Bachelor's degree,5 years or more,None,0.0,1.1029411764705883,17.647058823529413,23.897058823529413,33.8235294117647,18.38235294117647,5.147058823529412,47.0,22.6,84.3,5.9,7.2,13.5,5.3,3.0,3.0,1.0,1063710.0,2109073218562.5
17,11-3061,detailed,purchasing managers,70960,132660,125940,Bachelor's degree,5 years or more,None,0.0,1.4150943396226414,18.39622641509434,22.641509433962263,30.660377358490567,24.056603773584907,2.830188679245283,49.3,45.8,83.2,12.1,3.1,7.3,6.1,3.0,3.0,1.0,1193940.0,1137619071849.0566
18,11-3071,detailed,"transportation, storage, and distribution managers",132210,105100,96390,High school diploma or equivalent,5 years or more,None,0.3333333333333333,3.333333333333333,23.0,28.666666666666668,26.0,16.666666666666668,2.333333333333333,44.1,21.3,79.3,10.7,6.1,17.2,8.3,2.0,3.0,1.0,630600.0,3075486648000.0
19,11-3111,detailed,compensation and benefits managers,16340,137160,125130,Bachelor's degree,5 years or more,None,0.0,0.0,16.666666666666668,27.77777777777778,33.333333333333336,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,1.0,1234440.0,149412960000.0
